Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname Bundesland;Abgabe
00003;19500401;20110401;202;50.7827;6.0941;Aachen;Nordrhein-Westfalen;Frei
00005;19790102;19950630;190;50.8167;6.1833;Aachen-Merzbrück;Nordrhein-Westfalen;
00011;19800901;20250505;680;47.9736;8.5205;Donaueschingen (Landeplatz);Baden-Württemberg;Frei
00020;20040814;20250506;432;48.9219;9.9129;Abtsgmünd-Untergröningen;Baden-Württemberg;Frei
00029;20060110;20250506;260;49.7175;10.9101;Adelsdorf (Kläranlage);Bayern;Frei
00044;19790101;20250505;44;52.9336;8.2370;Großenkneten;Niedersachsen;Frei
00046;20060101;20250506;325;48.9450;12.4639;Aholfing;Bayern;Frei
00047;20081103;20131127;338;49.4997;9.5439;Ahorn-Eubigheim;Baden-Württemberg;Frei
00049;19911001;20061230;398;49.8383;11.4072;Ahorntal-Weiher;Bayern;Frei
00052;19760101;19880101;46;53.6623;10.1990;Ahrensburg-Wulfsdorf;Schleswig-Holstein;Frei
00053;20051001;20250506;60;52.5850;13.5634;Ahrensfelde;Brandenburg;Frei
00071;20091201;20200101;759;48.2156;8.9784;Albstadt-Badkap;Baden-Württemberg;Frei
00072;19780901;19950531;794;48.2766;9.0001;Albstadt-Onstmettingen;Baden-Württemberg;Frei
00073;20070401;20250505;374;48.6183;13.0620;Aldersbach-Kramersepp;Bayern;Frei
00078;20041101;20250505;64;52.4853;7.9125;Alfhausen;Niedersachsen;Frei
00087;20050201;20250506;158;51.0950;11.0479;Alperstedt;Thüringen;Frei
00090;19880219;20250505;305;50.7557;9.2583;Alsfeld;Hessen;Frei
00091;20040901;20250505;304;50.7446;9.3450;Alsfeld-Eifa;Hessen;Frei
00096;20190409;20250505;50;52.9437;12.8518;Neuruppin-Alt Ruppin;Brandenburg;Frei
00098;19490101;19541206;780;51.1890;8.4671;Altastenberg;Nordrhein-Westfalen;Frei
00102;19790101;20250505;0;53.8633;8.1275;Leuchtturm Alte Weser;Niedersachsen;Frei
00103;20040701;20250506;364;48.8960;12.2170;Hagelstadt;Bayern;Frei
00106;19990101;20061201;500;51.7976;10.4429;Altenau;Niedersachsen;
00116;19520101;19701231;213;50.9833;12.4333;Altenburg;Thüringen;Frei
00118;20050601;20250506;388;49.4053;12.2852;Altendorf;Bayern;Frei
00124;20061101;20250506;265;51.2388;11.5770;Bibra, Bad-Altenroda;Sachsen-Anhalt;Frei
00125;19930301;20250505;739;47.8342;10.8667;Altenstadt;Bayern;Frei
00126;19791101;20101130;330;49.5447;10.2213;Uffenheim (Schulstr.);Bayern;Frei
00129;19960701;20061230;30;53.6893;13.2420;Altentreptow;Mecklenburg-Vorpommern;Frei
00130;20041201;20250506;301;49.7284;9.7692;Altertheim-Oberaltertheim;Bayern;Frei
00131;20041101;20250505;296;51.0881;12.9326;Geringswalde-Altgeringswalde;Sachsen;Frei
00141;20230115;20250506;207;50.9932;12.5731;Altmörbitz/Wyhra;Sachsen;Frei
00142;20051201;20250505;511;48.4060;11.3117;Altomünster-Maisbrunn;Bayern;Frei
00146;20060108;20250506;730;47.7922;10.0988;Altusried-Muthmannshofen;Bayern;Frei
00150;20050701;20250505;215;49.7273;8.1164;Alzey;Rheinland-Pfalz;Frei
00151;20050301;20250505;382;49.4691;11.8546;Amberg-Unterammersricht;Bayern;Frei
00152;20090701;20120112;57;53.1268;10.2184;Amelinghausen;Niedersachsen;Frei
00154;20050301;20250505;516;48.0197;12.2925;Amerang-Pfaffing;Bayern;Frei
00158;20040701;20250506;210;50.7840;8.9545;Amöneburg-Rüdigheim;Hessen;Frei
00161;20110901;20250505;75;50.4237;7.4202;Andernach;Rheinland-Pfalz;Frei
00164;19750701;20250505;54;53.0316;13.9908;Angermünde;Brandenburg;Frei
00167;20040901;20250505;11;53.8409;13.6854;Anklam;Mecklenburg-Vorpommern;Frei
00174;19840301;19871231;250;49.1886;7.9766;Annweiler-Bindersbach;Rheinland-Pfalz;Frei
00175;19511101;19760430;413;49.2964;10.5751;Ansbach;Bayern;Frei
00176;19760601;19951130;481;49.2475;10.5826;Ansbach-Claffheim;Bayern;
00181;19990928;20081103;30;52.8761;11.5042;Arendsee;Sachsen-Anhalt;Frei
00183;19760401;20250505;42;54.6791;13.4344;Arkona;Mecklenburg-Vorpommern;Frei
00186;19710101;19980930;218;51.3773;8.0713;Arnsberg;Nordrhein-Westfalen;Frei
00191;20050301;20250505;217;49.9694;9.9114;Arnstein-Müdesheim;Bayern;Frei
00193;19790901;19871231;232;51.3845;9.0820;Arolsen-Neu Berich;Hessen;Frei
00194;20050201;20250506;265;51.3431;9.0763;Arolsen-Landau, Bad;Hessen;Frei
00197;19900801;20250505;365;51.3219;9.0558;Arolsen-Volkhardinghausen, Bad;Hessen;Frei
00198;19750701;20250505;164;51.3744;11.2920;Artern;Thüringen;Frei
00200;20041201;20250503;517;50.0850;6.3161;Lauperath-Scheidchen;Rheinland-Pfalz;Frei
00205;20050501;20250506;681;47.7275;12.2982;Aschau-Stein;Bayern;Frei
00207;19470101;19711231;105;51.7498;11.4667;Aschersleben;Sachsen-Anhalt;Frei
00211;20041101;20250506;200;50.5800;8.4685;Aßlar Klein-Altenstädten;Hessen;Frei
00213;20070501;20250506;170;51.9375;10.9897;Sargstedt;Sachsen-Anhalt;Frei
00216;20041001;20250506;298;51.1143;7.8807;Attendorn-Neulisternohl;Nordrhein-Westfalen;Frei
00217;20050101;20250505;670;47.8774;11.3643;Attenkam;Bayern;Frei
00221;19850801;19900531;483;48.5515;11.7117;Au i.d.Hallertau-Günzenhausen;Bayern;Frei
00222;19900611;20250505;393;50.5908;12.7139;Aue;Sachsen;Frei
00227;20041001;20250506;432;49.8823;11.2656;Aufseß-Hochstahl;Bayern;Frei
00232;19490101;20250505;462;48.4253;10.9417;Augsburg;Bayern;Frei
00240;20040901;20250506;293;50.1805;9.5743;Aura im Sinngrund;Bayern;Frei
00243;19610101;19911130;4;53.4621;7.4670;Aurich;Niedersachsen;Frei
00246;20060101;20080812;73;51.7015;12.8909;Axien;Sachsen-Anhalt;Frei
00257;20021101;20250505;240;48.7270;8.2457;Baden-Baden-Geroldsau;Baden-Württemberg;Frei
00258;19800112;19911227;124;48.8000;8.1833;Baden-Oos;Baden-Württemberg;
00259;20040701;20250505;275;47.8064;7.6387;Müllheim;Baden-Württemberg;Frei
00268;19960718;20081231;622;48.5293;8.2727;Baiersbronn-Obertal;Baden-Württemberg;Frei
00269;20060524;20250506;599;48.5116;8.3176;Baiersbronn-Mitteltal;Baden-Württemberg;Frei
00275;20041001;20250506;1039;47.4650;10.1043;Balderschwang;Bayern;Frei
00277;19900101;20081230;573;48.2772;8.8830;Balingen-Heselwangen;Baden-Württemberg;Frei
00279;20061101;20250506;457;48.7574;9.4514;Baltmannsweiler-Hohengehren;Baden-Württemberg;Frei
00282;19490101;20250505;240;49.8743;10.9206;Bamberg;Bayern;Frei
00284;19470101;19550101;282;49.8800;10.8800;Bamberg (Sternwarte);Bayern;Frei
00287;20080501;20250506;53;51.9610;11.9159;Walternienburg-Ronney;Sachsen-Anhalt;Frei
00288;19960701;19980831;3;53.8409;13.7549;Bargischow-Gnevezin;Mecklenburg-Vorpommern;Frei
00292;20051201;20250506;37;52.6965;8.4870;Barnstorf;Niedersachsen;Frei
00294;20040701;20250505;110;52.3199;9.4300;Barsinghausen-Hohenbostel;Niedersachsen;Frei
00298;19900611;20250505;3;54.3405;12.7108;Barth;Mecklenburg-Vorpommern;Frei
00301;20150901;20250506;659;48.7584;9.9855;Bartholomä;Baden-Württemberg;Frei
00303;19930901;20250505;55;52.0613;13.4997;Baruth;Brandenburg;Frei
00305;19911104;19941027;53;53.7333;12.9333;Basepohl;Mecklenburg-Vorpommern;Frei
00310;20041101;20250506;590;51.0662;8.5375;Battenberg-Hof Karlsburg;Hessen;Frei
00312;20070601;20250506;50;53.8149;11.8818;Baumgarten;Mecklenburg-Vorpommern;Frei
00314;20040501;20250505;234;51.1604;14.5042;Kubschütz, Kr. Bautzen;Sachsen;Frei
00316;20041101;20241201;310;49.6957;7.8387;Bayerfeld-Steckweiler -Schmalfelderhof;Rheinland-Pfalz;Frei
00320;20060701;20250505;350;49.9666;11.5198;Heinersreuth-Vollhof;Bayern;Frei
00321;19710101;19951231;789;47.6797;12.0017;Bayrischzell;Bayern;Frei
00323;20040315;20250506;425;49.1626;10.5918;Bechhofen/Voggendorf;Bayern;Frei
00326;20040701;20130708;120;51.7204;8.0577;Beckum-Unterberg;Nordrhein-Westfalen;Frei
00330;20040801;20250505;455;49.5617;8.9673;Oberzent-Beerfelden;Hessen;Frei
00336;20040901;20250506;290;51.0221;10.5148;Hörselberg-Hainich-Behringen;Thüringen;Frei
00341;19680201;19930131;235;47.7277;7.5520;Bellingen, Bad;Baden-Württemberg;
00342;20101201;20250505;103;52.3170;8.1694;Belm;Niedersachsen;Frei
00348;19891215;20110902;127;50.4135;7.5886;Bendorf;Rheinland-Pfalz;Frei
00350;19990601;19991231;540;51.6715;10.7268;Benneckenstein;Sachsen-Anhalt;
00357;20050901;20250506;50;52.3018;7.1301;Bentheim, Bad;Niedersachsen;Frei
00359;20040701;20250506;464;49.1022;11.7960;Beratzhausen;Bayern;Frei
00360;20040701;20250506;403;49.1116;11.4329;Berching;Bayern;Frei
00361;19490101;19751219;550;47.6344;13.0109;Berchtesgaden (KKst);Bayern;Frei
00368;19930301;20250505;69;52.8152;9.9248;Bergen;Niedersachsen;Frei
00377;20041001;20250505;210;49.1070;7.9967;Bergzabern, Bad;Rheinland-Pfalz;Frei
00378;20050401;20250506;134;51.6842;10.1078;Berka;Niedersachsen;Frei
00379;20170901;20250505;304;50.9075;11.2665;Berka, Bad (Flugplatz);Thüringen;Frei
00384;20050622;20140918;570;48.0409;10.0808;Berkheim;Baden-Württemberg;Frei
00386;19730101;19820630;445;51.0454;8.3851;Berleburg, Bad;Nordrhein-Westfalen;Frei
00389;20091101;20250506;436;51.0148;8.4318;Berleburg, Bad-Arfeld;Nordrhein-Westfalen;Frei
00390;20040701;20250505;610;50.9837;8.3683;Berleburg, Bad-Stünzel;Nordrhein-Westfalen;Frei
00399;19900611;20110801;36;52.5198;13.4057;Berlin-Alexanderplatz;Berlin;Frei
00400;20040601;20250505;60;52.6310;13.5021;Berlin-Buch;Berlin;Frei
00402;19510101;19601231;55;52.4564;13.2997;Berlin-Dahlem (LFAG);Berlin;Frei
00403;19550101;20250505;51;52.4537;13.3017;Berlin-Dahlem (FU);Berlin;Frei
00407;19610101;19771231;48;52.6461;13.2858;Berlin-Frohnau;Berlin;Frei
00410;20040501;20200615;33;52.4040;13.7309;Berlin-Kaniswall;Berlin;Frei
00420;20070801;20250505;61;52.5447;13.5598;Berlin-Marzahn;Berlin;Frei
00424;19610101;19810101;36;52.5000;13.4667;Berlin-Ostkreuz;Berlin;Frei
00427;19750701;20250505;46;52.3807;13.5306;Berlin Brandenburg;Brandenburg;Frei
00430;19610102;20210505;36;52.5644;13.3088;Berlin-Tegel;Berlin;Frei
00433;19490101;20250505;48;52.4676;13.4020;Berlin-Tempelhof;Berlin;Frei
00434;19560101;19601231;35;52.4553;13.4699;Berlin-Treptow;Berlin;Frei
00443;20040315;20250506;936;47.7388;10.7448;Bernbeuren-Prachtsried;Bayern;Frei
00445;20050701;20250505;85;51.8218;11.7110;Bernburg/Saale (Nord);Sachsen-Anhalt;Frei
00450;20051101;20121204;120;49.9186;7.0664;Bernkastel-Kues;Rheinland-Pfalz;Frei
